CID.N.10.0,POINT_X.N.19.11,POINT_Y.N.19.11,OUt__1IR_s.N.13.11,OUt__2IR_s.N.13.11,OUt__3IR_s.N.13.11,OUt__4IR_s.N.13.11,OUt__5IR_s.N.13.11,OUt__6IR_s.N.13.11,OUt__7IR_s.N.13.11,OUt__8IR_s.N.13.11,OUt__9IR_s.N.13.11,OUt__10IR_.N.13.11,OUt__11IR_.N.13.11,OUt__12IR_.N.13.11,OUt__13IR_.N.13.11,OUt__14IR_.N.13.11,OUt__15IR_.N.13.11,OUt__16IR_.N.13.11,OUt__17IR_.N.13.11,OUt__18IR_.N.13.11,OUt__19IR_.N.13.11,OUt__20IR_.N.13.11,OUt__21IR_.N.13.11,OUt__22IR_.N.13.11,OUt__23IR_.N.13.11,OUt__24IR_.N.13.11,OUt__25IR_.N.13.11,OUt__26IR_.N.13.11,OUt__27IR_.N.13.11,OUt__28IR_.N.13.11,OUt__29IR_.N.13.11,OUt__30IR_.N.13.11,OUt__31IR_.N.13.11,OUt__32IR_.N.13.11,OUt__33IR_.N.13.11,OUt__34IR_.N.13.11,OUt__35IR_.N.13.11,OUt__36IR_.N.13.11,OUt__37IR_.N.13.11,OUt__38IR_.N.13.11,OUt__39IR_.N.13.11,OUt__40IR_.N.13.11,OUt__41IR_.N.13.11,OUt__42IR_.N.13.11,OUt__43IR_.N.13.11,OUt__44IR_.N.13.11,OUt__45IR_.N.13.11,OUt__46IR_.N.13.11,OUt__47IR_.N.13.11,OUt__48IR_.N.13.11,OUt__49IR_.N.13.11,OUt__50IR_.N.13.11,OUt__51IR_.N.13.11,OUt__52IR_.N.13.11,OUt__53IR_.N.13.11,OUt__54IR_.N.13.11,OUt__55IR_.N.13.11,OUt__56IR_.N.13.11,OUt__57IR_.N.13.11,OUt__58IR_.N.13.11,OUt__59IR_.N.13.11,OUt__60IR_.N.13.11,OUt__61IR_.N.13.11,OUt__62IR_.N.13.11,OUt__63IR_.N.13.11,OUt__64IR_.N.13.11,OUt__65IR_.N.13.11,OUt__66IR_.N.13.11,OUt__67IR_.N.13.11,OUt__68IR_.N.13.11,OUt__69IR_.N.13.11,OUt__70IR_.N.13.11,OUt__71IR_.N.13.11,OUt__72IR_.N.13.11,OUt__73IR_.N.13.11,OUt__74IR_.N.13.11,OUt__75IR_.N.13.11,OUt__76IR_.N.13.11,OUt__77IR_.N.13.11,OUt__78IR_.N.13.11,OUt__79IR_.N.13.11,OUt__80IR_.N.13.11,OUt__81IR_.N.13.11,OUt__82IR_.N.13.11,OUt__83IR_.N.13.11,OUt__84IR_.N.13.11,OUt__85IR_.N.13.11,OUt__86IR_.N.13.11,OUt__87IR_.N.13.11,OUt__88IR_.N.13.11,OUt__89IR_.N.13.11,OUt__90IR_.N.13.11,OUt__91IR_.N.13.11,OUt__92IR_.N.13.11,OUt__93IR_.N.13.11,OUt__94IR_.N.13.11,OUt__95IR_.N.13.11,OUt__96IR_.N.13.11,OUt__97IR_.N.13.11,OUt__98IR_.N.13.11,OUt__99IR_.N.13.11,OUt__100IR.N.13.11,OUt__101IR.N.13.11,OUt__102IR.N.13.11,OUt__103IR.N.13.11,OUt__104IR.N.13.11,OUt__105IR.N.13.11
1,95.2743825409,14.995338225,0.651576,0.651576,0.651576,0.651576,0.55003,0.55003,0.55003,0.55003,0.55003,0.55003,0.55003,0.55003,0.55003,0.55003,0.55003,0.55003,0.55003,0.55003,0.55003,0.55003,0.55003,0.55003,0.55003,0.55003,0.55003,0.55003,0.55003,0.55003,0.55003,0.55003,0.55003,0.55003,0.55003,0.55003,0.55003,0.55003,16.7074,16.7074,16.7074,16.7074,7.82585,7.82585,7.82585,0.720893,4.24946,4.24946,4.24946,0.141651,0.141651,0.141651,0.141651,0.141651,0.141651,0.141651,0.141651,0.141651,0.637434,0.637434,0.637434,0.637434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,95.067089276,17.5178912921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,96.0589784466,15.2316829218,2.62023,2.62023,2.62023,2.62023,2.62023,2.62023,2.62023,2.62023,2.62023,2.62023,2.62023,2.62023,2.62023,2.62023,2.62023,2.62023,2.62023,2.62023,2.62023,2.62023,2.62023,2.62023,2.62023,2.62023,2.62023,2.62023,2.62023,2.62023,2.62023,2.62023,2.62023,2.62023,2.62023,2.62023,2.62023,2.62023,2.62023,2.62023,2.62023,2.62023,2.62023,2.62023,2.62023,7.33028,6.6665,6.6665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,96.2837733493,16.0234926285,1.8249,1.63134,1.63134,1.63134,1.63134,1.63134,1.63134,1.63134,1.63134,1.63134,1.63134,1.66103,1.66103,1.66103,1.66103,1.66103,1.75011,1.75011,1.63134,1.63134,1.63134,1.63134,1.63134,1.63134,1.63134,1.63134,1.63134,1.63134,1.63134,1.63134,1.63134,1.63134,1.63134,1.63134,1.63134,1.63134,12.0815,12.0815,12.0815,0.332982,0.332982,0.332982,0.272109,0.0603685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,97.572645985,15.0740790017,0.380721,0.380721,0.380721,0.380721,0.380721,0.380721,0.380721,0.380721,0.380721,0.380721,0.380721,0.380721,0.380721,0.380721,0.380721,0.380721,0.380721,0.380721,0.380721,0.380721,0.380721,0.380721,0.380721,0.380721,0.380721,0.380721,0.380721,0.380721,0.380721,0.380721,0.380721,0.380721,0.380721,0.380721,0.380721,0.380721,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0.00906637,0
1,96.717407478,16.4298270089,8.81636,1.94035,1.94035,1.94035,1.94035,1.94035,1.94035,1.94035,1.94035,1.94035,1.94035,2.99519,2.99519,2.99519,2.99519,2.99519,6.15972,6.15972,1.94035,1.94035,1.94035,1.94035,1.94035,1.94035,1.94035,1.94035,1.94035,1.94035,1.94035,1.94035,1.94035,1.94035,1.94035,1.94035,1.94035,1.94035,1.94035,1.94035,1.94035,1.31865,1.31865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,96.8424277669,14.3153308871,0.955773,0.955773,0.955773,0.955773,0.955773,0.955773,0.955773,0.955773,0.955773,0.955773,0.955773,0.955773,0.955773,0.955773,0.955773,0.955773,0.671489,0.671489,0.671489,0.671489,0.671489,0.671489,0.671489,0.671489,0.671489,0.671489,0.317504,0.317504,0.317504,0.317504,0.317504,0.317504,0.317504,0.317504,0.0249228,0.0249228,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,2.48638,2.48638,2.48638,2.48638,2.48638,2.48638,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0.0241171,0
1,93.9614025869,14.9737712039,0.3039,0.3039,0.3039,0.3039,0.3039,0.3039,0.3039,0.3039,0.3039,0.3039,0.3039,0.3039,0.3039,0.3039,0.3039,0.3039,0.3039,0.3039,0.3039,0.3039,0.3039,0.3039,0.3039,0.3039,0.3039,0.3039,0.3039,0.3039,0.3039,0.3039,0.3039,0.3039,0.3039,0.3039,0.3039,0.3039,0.3039,0.3039,0.3039,0.3039,0.3039,0.3039,0.3039,0.3039,8.51954,8.51954,8.51954,0.29745,0.29745,0.29745,0.29745,0.29745,0.29745,0.29745,0.29745,0.29745,1.2898,1.2898,1.2898,1.2898,0.0139257,0.0139257,0.0139257,0.0139257,0.0139257,0.0139257,0.0139257,0.0139257,0.0139257,0.0139257,0.0139257,0.0139257,0.0139257,0.0139257,0.0139257,0.0139257,0.0139257,0.0139257,0.0139257,0.0139257,0.0139257,0.0139257,0.0139257,0.0139257,0.0139257,0.0139257,0.0139257,0.0139257,0.0139257,0.0139257,0.0139257,0.0139257,0.0139257,0.0139257,0.0139257,0.0139257,0.0139257,0.0139257,0.0139257,0.0139257,0.0139257,0.0139257,0.0139257,0.0139257,0
1,94.4401344175,16.1270389452,0,0,0,0,10.3549,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35415,6.35415,6.35415,6.35415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,95.2946213732,18.3310194843,0.0235306,0.0235306,0.0235306,0.0235306,0.0235306,0.0235306,0.00306722,0.00306722,0.00306722,0.00306722,0.00306722,0.00306722,0.00306722,0.00306722,0.00306722,0.00306722,0.00306722,0.00306722,0.00306722,0.00306722,0.00306722,0.00306722,0.00306722,0.00306722,0.00306722,0.00306722,0.00306722,0.00306722,0.00306722,0.00306722,0.00306722,0.00306722,0.00306722,0.00306722,0.00306722,0.00306722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
